ID,Movie,State,Tomatometer
1,M1,Sober,28.26737746882665
1,M2,Sober,27.53130226963984
1,M3,Sober,11.519902380047203
1,M4,Sober,17.24607506597014
1,M5,Sober,31.028760036214777
1,M6,Sober,36.09319037755745
1,M7,Sober,31.119821099642795
1,M8,Sober,32.67816696964212
1,M9,Sober,44.131895731091305
1,M10,Sober,22.606422902456778
1,M11,Sober,24.262243749559733
1,M12,Sober,20.212022158773397
1,M13,Sober,28.989191055634212
1,M14,Sober,25.82230560046792
1,M15,Sober,22.86071995126818
1,M1,Drunk,61.0945715105115
1,M2,Drunk,42.69316019515337
1,M3,Drunk,21.481154308092123
1,M4,Drunk,37.090217588028835
1,M5,Drunk,64.83408811596078
1,M6,Drunk,61.14499206221412
1,M7,Drunk,41.64348901943002
1,M8,Drunk,59.27412409725909
1,M9,Drunk,42.20732963812086
1,M10,Drunk,44.922902011589215
1,M11,Drunk,55.582004294990526
1,M12,Drunk,57.057197358060925
1,M13,Drunk,65.49760833500135
1,M14,Drunk,50.94016536737602
1,M15,Drunk,42.550123305207876
2,M1,Sober,30.321968042399444
2,M2,Sober,9.814417576619999
2,M3,Sober,27.324629021692964
2,M4,Sober,31.717502216130725
2,M5,Sober,25.682924433175284
2,M6,Sober,24.09871430723397
2,M7,Sober,29.631050105543036
2,M8,Sober,17.197865038961552
2,M9,Sober,25.173752870681643
2,M10,Sober,28.843678667430662
2,M11,Sober,1.1230478538269253
2,M12,Sober,26.734143253379898
2,M13,Sober,18.745805549122025
2,M14,Sober,37.39908249533282
2,M15,Sober,31.156578164003143
2,M1,Drunk,49.89400024215156
2,M2,Drunk,43.993058364585764
2,M3,Drunk,46.98589783317878
2,M4,Drunk,34.32424214942286
2,M5,Drunk,66.40635561849744
2,M6,Drunk,49.72424290931161
2,M7,Drunk,48.892878337106275
2,M8,Drunk,59.04954320509711
2,M9,Drunk,62.480397450901975
2,M10,Drunk,57.42096296458572
2,M11,Drunk,55.09301403398692
2,M12,Drunk,53.049481008375196
2,M13,Drunk,70.6086424371792
2,M14,Drunk,68.22378923745055
2,M15,Drunk,55.15404242624494
3,M1,Sober,20.336556336658656
3,M2,Sober,3.9781292685674146
3,M3,Sober,8.845236974963225
3,M4,Sober,16.88206424994571
3,M5,Sober,22.348945781114594
3,M6,Sober,34.89515152854436
3,M7,Sober,22.239750392585343
3,M8,Sober,38.700986268609455
3,M9,Sober,27.309414851381618
3,M10,Sober,27.721469333305386
3,M11,Sober,28.012475284435784
3,M12,Sober,30.348927629903923
3,M13,Sober,12.296583286757535
3,M14,Sober,26.446841774954507
3,M15,Sober,14.926354841260082
3,M1,Drunk,33.853917630360456
3,M2,Drunk,43.12880577052684
3,M3,Drunk,20.279122959680763
3,M4,Drunk,25.903036590159594
3,M5,Drunk,63.605651335727096
3,M6,Drunk,51.33353379690239
3,M7,Drunk,41.271705621545905
3,M8,Drunk,49.08522232986144
3,M9,Drunk,42.777821485379675
3,M10,Drunk,40.12802631698534
3,M11,Drunk,38.046857146664046
3,M12,Drunk,41.28753079902495
3,M13,Drunk,44.890489629446954
3,M14,Drunk,57.6909838156952
3,M15,Drunk,38.480573972805104
4,M1,Sober,40.59480057785318
4,M2,Sober,30.942446096418333
4,M3,Sober,31.908352666352386
4,M4,Sober,24.80006590507773
4,M5,Sober,46.974960817606124
4,M6,Sober,40.682901793078415
4,M7,Sober,34.25242976723004
4,M8,Sober,47.49809155942938
4,M9,Sober,37.18379961084008
4,M10,Sober,52.95526420135757
4,M11,Sober,39.84143184078921
4,M12,Sober,13.838301340483277
4,M13,Sober,36.07440327738818
4,M14,Sober,27.887404978641552
4,M15,Sober,38.3228795026183
4,M1,Drunk,71.76447291980406
4,M2,Drunk,71.99127413473374
